,_,A,R0,_,_,H
base,0.04,0.62,2.52,,,
vax,0.12,0.72,3.10,0.50,,
vax_OAS,0.40,2.68,3.38,0.44,0.72,
Kucharski vax_OAS,0.25,0.34,1.30,0.06,0.93,
vax_OAS_HA,0.41,2.71,3.26,0.41,0.66,1.00
