,_,A,R0,_,_,H
base,0.07,0.90,3.63,,,
vax,0.91,0.75,2.69,0.00,,
vax_OAS,0.40,3.25,3.30,0.42,0.66,
Kucharski vax_OAS,0.17,1.20,1.75,0.24,0.93,
vax_OAS_HA,0.41,3.16,3.41,0.38,0.68,0.87
