OFL_ISOLATE_ID,OFL_SEQUENCE_ID,NAME,TYPE,H5_CLADE,PASSAGE,COLLECT_DATE,HOST,LOCATION,NOTES,UPDATE_DATE,IS_PUBLIC
OFL_ISL_17358,HA: OFL145435 / HA: OFL482712,A/ANHUI/1238/2005,A / H3N2,,,2005-08-23,Human,China / Anhui Sheng,,,yes
OFL_ISL_17359,HA: OFL457460 / HA: OFL145436 / HA: OFL483578,A/ANHUI/1239/2005,A / H3N2,,,2005-08-23,Human,China / Anhui Sheng,,,yes
OFL_ISL_17364,HA: OFL485502 / HA: OFL145441,A/BRAZIL/1742/2005,A / H3N2,,,2005-07-07,Human,Brazil,,,yes
OFL_ISL_16915,HA: OFL144960,A/BRISBANE/5/2002,A / H3N2,,,2002-06-07,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_89002,HA: OFL372866,A/BRISBANE/5/2002,A / H3N2,,MDCK2,2002-06-07,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_16916,HA: OFL144961,A/BRISBANE/6/2002,A / H3N2,,,2002-06-20,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_16988,HA: OFL145040,A/BRISBANE/7/2003,A / H3N2,,,2003-06-26,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_18407,HA: OFL486119 / HA: OFL147209,A/Beijing/51/2002,A / H3N2,,,2002-12-20,Human,China / Beijing Shi,,,yes
OFL_ISL_13618,HA: OFL125691 / NA: OFL125693,A/Brisbane/10/2007,A / H3N2,,E2,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_21196,HA: OFL153033 / HA: OFL125695 / MP: OFL153034,A/Brisbane/10/2007,A / H3N2,,MDCKx,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_21197,HA: OFL125925 / NA: OFL126033,A/Brisbane/10/2007,A / H3N2,,E2/E1,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_25019,HA: OFL165489 / NA: OFL165491 / MP: OFL165490 / NP: OFL165492 / NS: OFL165493 / PA: OFL165494 / PB1: OFL165495 / PB2: OFL165496,A/Brisbane/10/2007,A / H3N2,,Egg,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_29668,HA: OFL176959 / NA: OFL176961 / MP: OFL176960 / NP: OFL176962 / NS: OFL176963 / PA: OFL176964 / PB1: OFL176965 / PB2: OFL176966,A/Brisbane/10/2007,A / H3N2,,Egg 2,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_42786,HA: OFL217811,A/Brisbane/10/2007,A / H3N2,,E2/E3,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_89031,HA: OFL372895,A/Brisbane/10/2007,A / H3N2,,MDCK7,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_105559,HA: OFL471261 / HA: OFL449976 / NA: OFL471263 / NA: OFL449977 / MP: OFL471264 / NP: OFL471262 / NS: OFL471265 / PA: OFL471260 / PB1: OFL471259 / PB2: OFL471258,A/Brisbane/10/2007,A / H3N2,,,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_110366,HA: OFL474104 / NA: OFL474118,A/Brisbane/10/2007,A / H3N2,,egg,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_110367,HA: OFL474105 / NA: OFL474119,A/Brisbane/10/2007,A / H3N2,,MDCK,2007-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_105639,HA: OFL450806 / NA: OFL450808 / MP: OFL450807 / NP: OFL450809 / NS: OFL450810 / PA: OFL450811 / PB1: OFL450812 / PB2: OFL450813,A/Brisbane/11/2010,A / H3N2,,Egg,2010-05-26,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_114027,HA: OFL485079,A/Brisbane/11/2010,A / H3N2,,,2010-05-26,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_113574,HA: OFL484481,A/Brisbane/24/2008,A / H3N2,,,2008-06-23,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_12091,HA: OFL117165,A/Brisbane/3/2005,A / H3N,,E4,2005-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_21125,HA: OFL117175,A/Brisbane/3/2005,A / H3N,,MDCKX,2005-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_21127,NA: OFL117235,A/Brisbane/3/2005,A / H3N2,,E5,2005-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_21256,HA: OFL145442,A/Brisbane/3/2005,A / H3N2,,,2005-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_89029,HA: OFL372893,A/Brisbane/3/2005,A / H3N2,,"X,MDCK2",2005-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_110364,HA: OFL474102 / NA: OFL474116,A/Brisbane/3/2005,A / H3N2,,egg,2005-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_110365,HA: OFL474103 / NA: OFL474117,A/Brisbane/3/2005,A / H3N2,,MDCK,2005-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_13263,HA: OFL123554,A/Brisbane/9/2006,A / H3N,,MDCKX,2006-00-00,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_35725,NP: OFL196243 / PA: OFL196270,A/Brisbane/9/2006,A / H3N2,,MDCK,2006-06-22,Human,Australia / Queensland / Brisbane,,,yes
OFL_ISL_17375,HA: OFL145452,A/CALIFORNIA/20/2005,A / H3N2,,,2005-10-11,Human,USA / California state,,,yes
OFL_ISL_17155,HA: OFL145215,A/CANADA/578/2004,A / H3N2,,,2004-05-09,Human,Canada,,,yes
OFL_ISL_10456,NA: OFL116638,A/California/7/2004,A / H3N2,,SPFCK3E2,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_21086,HA: OFL115511,A/California/7/2004,A / H3N,,M2/C2,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_21087,HA: OFL115513,A/California/7/2004,A / H3N,,spfCK3E1,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_21094,NA: OFL116184,A/California/7/2004,A / H3N2,,Spfck3E2,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_21195,HA: OFL145214 / HA: OFL106476 / NA: OFL124551,A/California/7/2004,A / H3N2,,,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_21211,HA: OFL153017 / MP: OFL153018,A/California/7/2004,A / H3N2,,"SPFCK3,SPF1",2004-00-00,Human,USA / California state,,,yes
OFL_ISL_35723,NP: OFL196241 / PA: OFL196268,A/California/7/2004,A / H3N2,,SPFCK3 E3,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_89026,HA: OFL372890,A/California/7/2004,A / H3N2,,E5,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_108820,HA: OFL468772 / NA: OFL468774 / MP: OFL468773 / NP: OFL468775 / NS: OFL468776 / PA: OFL468777 / PB1: OFL468778 / PB2: OFL468779,A/California/7/2004,A / H3N2,,xMDCK1,2004-00-00,Human,USA / California state,,,yes
OFL_ISL_3925,HA: OFL484329 / HA: OFL21480 / HA: OFL144978 / HA: OFL147200 / NA: OFL21508,A/Cheonnam/432/2002,A / H3N2,,,2002-11-26,Human,South Korea,,,yes
OFL_ISL_11942,HA: OFL116795,A/Christchurch/28/2003,A / H3N2,,E7,2003-00-00,Human,New Zealand / Christchurch,,,yes
OFL_ISL_21217,HA: OFL145058,A/Christchurch/28/2003,A / H3N2,,,2003-00-00,Human,New Zealand / Christchurch,,,yes
OFL_ISL_110362,HA: OFL474100 / NA: OFL474114,A/Christchurch/28/2003,A / H3N2,,egg,2003-00-00,Human,New Zealand / Christchurch,,,yes
OFL_ISL_110363,HA: OFL474101 / NA: OFL474115,A/Christchurch/28/2003,A / H3N2,,MDCK,2003-00-00,Human,New Zealand / Christchurch,,,yes
OFL_ISL_3928,HA: OFL21486 / HA: OFL486153 / HA: OFL144980 / NA: OFL21514,A/Daejeon/390/2002,A / H3N2,,,2002-11-27,Human,South Korea / Taejon-gwangyoksi,,,yes
OFL_ISL_64900,HA: OFL291511,A/England/392/2008,A / H3N2,,,2008-00-00,Human,United Kingdom / England,,,yes
OFL_ISL_64901,HA: OFL291512,A/England/394/2008,A / H3N2,,,2008-00-00,Human,United Kingdom / England,,,yes
OFL_ISL_113464,HA: OFL484333,A/England/669/2008,A / H3N2,,,2008-12-30,Human,United Kingdom / England,,,yes
OFL_ISL_113925,HA: OFL484952,A/England/687/2008,A / H3N2,,,2008-12-30,Human,United Kingdom / England,,,yes
OFL_ISL_17641,HA: OFL145736,A/FLORIDA/2/2006,A / H3N2,,,2006-01-19,Human,USA / Florida state,,,yes
OFL_ISL_42775,HA: OFL217800,A/FLORIDA/2/2006,A / H3N2,,M2/C3,2006-01-19,Human,USA / Florida state,,,yes
OFL_ISL_108817,HA: OFL468748 / NA: OFL468750 / MP: OFL468749 / NP: OFL468751 / NS: OFL468752 / PA: OFL468753 / PB1: OFL468754 / PB2: OFL468755,A/Finland/170/2003,A / H3N2,,xMDCK1,2003-00-00,Human,Finland,,,yes
OFL_ISL_113672,HA: OFL484606,A/Finland/9/2008,A / H3N2,,,2008-01-07,Human,Finland,,,yes
OFL_ISL_76733,HA: OFL483862 / HA: OFL333479 / NA: OFL333478 / MP: OFL333480,A/Florida/43/2010,A / H3N2,,,2010-12-29,Human,USA / Florida state,,,yes
OFL_ISL_64906,HA: OFL291550 / NA: OFL291552 / MP: OFL291553 / NP: OFL291551 / NS: OFL291554 / PA: OFL291549 / PB1: OFL291548 / PB2: OFL291547,A/Fujian/411/2002,A / H3N2,,egg,2002-00-00,Human,China / Fujian,,,yes
OFL_ISL_89016,HA: OFL372880,A/Fujian/411/2002,A / H3N2,,MDCK8,2002-00-00,Human,China / Fujian,,,yes
OFL_ISL_108697,HA: OFL467776 / NA: OFL467778 / MP: OFL467777 / NP: OFL467779 / NS: OFL467780 / PA: OFL467781 / PB1: OFL467782 / PB2: OFL467783,A/Fujian/411/2002,A / H3N2,,xMDCK1,2002-00-00,Human,China / Fujian,,,yes
OFL_ISL_17026,HA: OFL145081,A/Fujian/445/2003,A / H3N2,,,2003-00-00,Human,China / Fujian,,,yes
OFL_ISL_105627,HA: OFL450463 / NA: OFL450465 / MP: OFL450464 / NP: OFL450466 / NS: OFL450467 / PA: OFL450468 / PB1: OFL450469 / PB2: OFL450470,A/Fujian/445/2003,A / H3N2,,Egg,2003-00-00,Human,China / Fujian,,,yes
OFL_ISL_17404,HA: OFL145483,A/GUNMA/16/2005,A / H3N2,,,2005-01-17,Human,Japan,,,yes
OFL_ISL_18392,HA: OFL147193,A/Guam/228/2002,A / H3N2,,,2002-10-26,Human,Guam,,,yes
OFL_ISL_13228,HA: OFL123424 / HA: OFL126805 / HA: OFL145491 / HA: OFL449985 / NA: OFL449986 / NA: OFL126807 / MP: OFL142349 / NP: OFL142347 / NS: OFL142348 / PA: OFL142346 / PB1: OFL142345 / PB2: OFL142344,A/Hiroshima/52/2005,A / H3N2,,,2005-10-24,Human,Japan / Hiroshima-cho,,,yes
OFL_ISL_18271,HA: OFL146373,A/INCHEON/677/2006,A / H3N2,,,2006-11-14,Human,South Korea / Inch'on-gwangyoksi,,,yes
OFL_ISL_76779,HA: OFL333615 / HA: OFL428643 / NA: OFL428646 / NA: OFL333614 / MP: OFL333616 / MP: OFL428641 / NP: OFL428647 / NS: OFL428648 / PA: OFL428642 / PB1: OFL428644 / PB2: OFL428645,A/Iowa/19/2010,A / H3N2,,,2010-12-30,Human,USA / Iowa state,,,yes
OFL_ISL_11491,HA: OFL115418,A/Ishikawa/102/2002,A / H3N2,,mdck1,2002-11-26,Human,Japan / Ishikawa-gun,,,yes
OFL_ISL_21215,HA: OFL144987 / HA: OFL484066,A/Ishikawa/102/2002,A / H3N2,,,2002-11-26,Human,Japan / Ishikawa-gun,,,yes
OFL_ISL_17705,HA: OFL145800,A/KITAKYUSHU/5/2006,A / H3N2,,,2006-01-20,Human,Japan / Fukuoka-ken / Kitakyushu,,,yes
OFL_ISL_13125,MP: OFL123068,A/Kentucky/3/2006,A / H3N2,,spfCK2E1,2006-04-02,Human,USA / Kentucky state,,,yes
OFL_ISL_21271,HA: OFL145797,A/Kentucky/3/2006,A / H3N2,,,2006-04-02,Human,USA / Kentucky state,,,yes
OFL_ISL_11661,HA: OFL115789,A/Korea/770/2002,A / H3N2,,X/C1,2002-12-02,Human,South Korea,,,yes
OFL_ISL_11445,HA: OFL115169 / HA: OFL144988 / HA: OFL486926,A/Kumamoto/102/2002,A / H3N2,,,2002-12-25,Human,Japan / Kumamoto-shi,,,yes
OFL_ISL_18337,HA: OFL146440 / HA: OFL483086,A/LYON/1292/2006,A / H3N2,,,2006-12-18,Human,France / Rhone-Alpes / Departement du Rhone / Lyon,,,yes
OFL_ISL_18338,HA: OFL146441 / HA: OFL484454,A/LYON/1313/2006,A / H3N2,,,2006-12-20,Human,France / Rhone-Alpes / Departement du Rhone / Lyon,,,yes
