"","x"
"pdm.AUV",0
"pdm.AV",0
"pdm.AVG",1.06
"pdm.AUVG",1.07
"pdm.ATUV",1.34
"pdm.ATV",1.36
"pdm.AUVN",1.93
"pdm.AVN",1.95
"pdm.ATVG",2.52
"pdm.ATUVG",2.52
"pdm.AUVS",2.88
"pdm.AVS",2.89
"pdm.ATVN",3.06
"pdm.ATUVN",3.07
"pdm.AU",3.96
"pdm.A",4.03
"pdm.AUG",4.11
"pdm.AG",4.14
"pdm.ATVS",4.18
"pdm.ATUVS",4.18
"pdm.ATU",5.11
"pdm.AUN",5.11
"pdm.AN",5.14
"pdm.AT",5.24
"pdm.ATUG",5.4
"pdm.ATG",5.46
"pdm.AUS",6.05
"pdm.AS",6.08
"pdm.ATUN",6.09
"pdm.ATN",6.15
"pdm.ATUS",7.19
"pdm.ATS",7.25
