0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3986488,3798100,3712522,3660016,3699321,3681034,3563046,3644060,3510580,3678026,3705149,3481891,3380156,3385614,3260077,3342528,3287140,3439746,3601602,4100577,4048841,3837554,3673009,3710050,3880932,4070277,4195828,4291240,4147932,4571770,4512156,4349962,4380288,4356406,4339961,4274502,4073655,4000923,3705195,3936020,3797499,3634572,3621350,3845180,2894341,2903748,2823381,3001087,2500970,2599830,2432676,2313332,2265849,2171043,2194862,2165677,2060426,2089003,1976880,2186173,2152047,2093993,2142533,2111084,2123825,2117112,2056694,2001182,1962424,1941511,1781932,1685631,1607446,1499695,1450359,1400854,1299731,1231604,1148910,1065897,949424,864313,789319,706332,627309,410724,410724,410724,410724,410724,152859.4,152859.4,152859.4,152859.4,152859.4,41039.4,41039.4,41039.4,41039.4,41039.4,36486
4003780,3953336,3806523,3722775,3721632,3707078,3686288,3583698,3537332,3766734,3712645,3678118,3504884,3432293,3428015,3311819,3380269,3370624,3403441,3804127,4065067,3964324,3745551,3656482,3803001,3878137,4080068,4262978,4127113,4574841,4526969,4446648,4402990,4395012,4529246,4336355,4206976,4127666,3807241,4099110,3837388,3711711,3633564,3589714,3979741,2841131,2829136,2854523,2874485,2729817,2538717,2349345,2309658,2285655,2207685,2139405,2193877,2065748,1959722,2084037,2133473,2103025,2082833,2148738,2135003,2069964,2067884,2028118,1913084,1959316,1888676,1728675,1646210,1525841,1466136,1409800,1338624,1246679,1200038,1086927,974484,885099,803943,738123,644864,423027.8,423027.8,423027.8,423027.8,423027.8,164520.6,164520.6,164520.6,164520.6,164520.6,42522.6,42522.6,42522.6,42522.6,42522.6,38784
3972775,3978057,3963541,3823718,3789950,3732466,3714856,3713396,3494500,3775886,3810655,3692127,3707649,3557576,3477756,3484289,3350995,3461562,3351383,3598011,3795137,4001481,3890274,3746008,3755102,3821292,3891166,4156896,4120898,4512365,4559977,4453926,4505408,4414262,4560780,4540097,4267100,4255696,3948714,4172792,4021624,3743338,3719756,3605280,3701937,3925208,2769174,2861189,2744874,3112253,2680785,2452384,2349283,2326056,2326512,2156534,2158953,2198162,1952232,2055019,2042689,2081833,2094572,2088269,2169795,2083818,2024865,2042608,1938844,1905437,1909884,1829579,1687724,1571028,1492232,1424893,1347524,1282300,1211001,1134927,1000758,906037,824350,749775,673750,439778.2,439778.2,439778.2,439778.2,439778.2,171355.6,171355.6,171355.6,171355.6,171355.6,43949.2,43949.2,43949.2,43949.2,43949.2,39245
3894191,3955183,3992724,3989373,3897804,3805253,3743247,3748730,3636925,3711801,3829516,3796036,3727762,3761340,3606749,3536566,3525035,3427387,3452534,3532331,3594606,3738322,3926281,3890657,3840058,3784185,3825636,3966866,4032931,4459275,4520992,4473419,4513133,4508368,4567591,4583390,4462239,4306987,4089557,4284422,4118024,3912868,3758033,3692435,3703595,3672087,3825157,2801615,2761659,2952806,3074668,2589776,2455989,2361390,2368802,2277486,2168705,2162654,2092254,2035154,2022853,1989225,2076584,2098966,2104590,2120517,2041079,2003067,1952519,1926597,1861074,1846246,1786398,1618182,1536940,1448975,1362080,1289251,1241695,1145198,1051641,927630,845877,766435,684844,455587.8,455587.8,455587.8,455587.8,455587.8,180643.6,180643.6,180643.6,180643.6,180643.6,44751.6,44751.6,44751.6,44751.6,44751.6,40651
3837113,3882132,3968620,4022773,4066224,3911606,3813700,3778668,3682989,3837716,3768473,3816106,3832675,3775338,3808694,3663343,3572649,3592713,3425202,3621902,3528405,3542839,3674968,3928673,3981179,3879824,3780362,3900921,3861126,4317332,4487755,4419390,4529937,4504582,4648325,4598983,4498215,4490498,4156174,4390737,4249805,3994897,3933420,3729491,3776646,3690626,3576223,3861227,2713824,2948670,2930938,2968690,2595352,2462232,2404979,2321480,2280146,2169850,2070945,2166545,2011277,1964705,1985428,2078772,2109989,2058214,2079157,2021510,1913794,1935051,1884782,1794102,1801138,1719772,1582271,1489914,1384232,1300723,1243529,1173164,1067825,970846,866708,783169,699870,468427,468427,468427,468427,468427,189921.6,189921.6,189921.6,189921.6,189921.6,45532.4,45532.4,45532.4,45532.4,45532.4,41627
3791386,3832267,3896142,4003956,4102754,4080906,3918857,3851996,3724335,3862077,3900144,3757198,3854253,3875030,3820424,3864742,3695963,3631592,3598495,3583206,3620771,3482672,3491866,3687003,4017902,4037151,3872102,3860540,3814487,4095656,4370579,4376542,4477611,4515205,4632250,4693270,4509835,4516778,4353674,4418063,4380551,4112101,4023082,3903382,3800032,3782323,3593186,3612375,3758611,2877246,2942507,2829519,2978860,2596862,2508750,2361284,2315629,2280292,2092492,2132601,2150767,1950471,1963833,1986464,2086189,2066151,2020906,2063478,1932993,1892957,1897621,1814445,1751194,1743526,1682817,1533755,1424436,1321703,1251908,1176080,1102979,984170,909983,800876,716604,480931.6,480931.6,480931.6,480931.6,480931.6,198808.8,198808.8,198808.8,198808.8,198808.8,47739.6,47739.6,47739.6,47739.6,47739.6,43322
3744999,3793945,3847031,3936378,4085919,4118615,4087823,3961111,3810244,3882737,3930865,3891750,3798286,3893189,3921019,3876042,3896547,3748949,3647933,3750689,3586696,3574730,3438174,3508350,3768695,4087468,4021994,3957669,3790654,4006355,4170072,4251949,4435751,4456300,4631093,4689325,4597490,4518505,4399569,4580862,4432912,4227780,4148471,3993633,3962716,3824814,3680887,3629062,3526758,3949005,2886834,2840172,2842370,2973559,2646504,2466519,2345375,2313529,2213473,2141804,2125679,2081161,1951350,1962488,1988608,2044450,2030826,2008723,1972603,1907485,1860250,1822144,1769906,1702570,1705531,1628948,1465646,1357929,1267591,1183574,1113040,1013050,923749,837680,732462,496103.2,496103.2,496103.2,496103.2,496103.2,202964.6,202964.6,202964.6,202964.6,202964.6,50842.4,50842.4,50842.4,50842.4,50842.4,45341
3751141,3755827,3811084,3893717,4020902,4104267,4127495,4136887,3934297,3951086,3959574,3927924,3938327,3834661,3940211,3978082,3907117,3943838,3777389,3791265,3758231,3551161,3542084,3466500,3592100,3856345,4070895,4118819,3906020,3946961,4106955,4051291,4314760,4410924,4561993,4704186,4592446,4598210,4424258,4584521,4624039,4268560,4273685,4119422,4039088,4008876,3721975,3717836,3555812,3682141,3984650,2786719,2856624,2831807,3031068,2606966,2441205,2342359,2261789,2252768,2144974,2053627,2085142,1949854,1960627,1950886,2012216,2022161,1920791,1943776,1879197,1782428,1777197,1729265,1665957,1649537,1556914,1395791,1298103,1198485,1127620,1019106,952612,847334,766709,511037.4,511037.4,511037.4,511037.4,511037.4,208807,208807,208807,208807,208807,51912.4,51912.4,51912.4,51912.4,51912.4,46692
3762809,3768112,3773397,3861808,3978797,4039711,4112475,4180115,4122785,4055242,4035230,3959695,3978089,3970975,3881192,3996722,4006784,3944569,3981223,3910434,3799863,3720000,3525791,3575395,3546054,3688766,3837254,4171533,4080230,4025861,4068797,3980432,4113956,4285068,4504615,4647434,4604202,4584006,4524490,4566065,4656534,4442810,4324057,4246602,4152154,4108351,3901324,3759423,3656981,3688084,3734825,3846086,2806994,2840605,2889184,2989898,2570360,2436220,2305054,2287915,2265724,2068224,2060484,2082928,1944148,1925215,1921704,2006968,1934359,1889019,1919463,1797080,1738304,1745311,1692824,1610422,1577276,1481717,1330641,1228062,1150320,1029841,960538,871471,776089,528438.8,528438.8,528438.8,528438.8,528438.8,214738.4,214738.4,214738.4,214738.4,214738.4,53810.4,53810.4,53810.4,53810.4,53810.4,47597
3795762,3784001,3783695,3826501,3945585,3995596,4044949,4165859,4178894,4221162,4144940,4036399,4011128,4004643,4016254,3934744,4021862,4034386,3990308,4103302,3920076,3762940,3695951,3561920,3650542,3652312,3666165,3939601,4150463,4166516,4176407,3935632,4045114,4080760,4365436,4601162,4543860,4584978,4531008,4621541,4663542,4462222,4508019,4297293,4263052,4243275,3996539,3937632,3711221,3765540,3759256,3603339,3876977,2784868,2899172,2854647,2937365,2562178,2413390,2317241,2310077,2179628,2076737,2055864,2070899,1910015,1897274,1917888,1918627,1897694,1869141,1831912,1752158,1715307,1708893,1635100,1539897,1499691,1408598,1259320,1186831,1047808,972792,875954,798923,545410.4,545410.4,545410.4,545410.4,545410.4,219771.2,219771.2,219771.2,219771.2,219771.2,55856.4,55856.4,55856.4,55856.4,55856.4,48828
3855956,3798691,3800144,3821118,3902384,3967834,4004335,4091467,4164871,4235345,4318540,4151953,4084732,4034618,4047853,4064678,3983291,4048379,4079606,4119001,4101286,3893853,3771190,3722452,3627886,3747738,3644037,3747633,3947343,4193512,4297742,4062757,3999268,4019117,4145350,4446557,4528984,4523611,4547235,4604465,4696305,4513298,4522455,4476856,4309077,4335271,4155176,4025331,3898395,3805354,3800059,3663455,3637919,3816136,2861878,2854393,2817330,2913690,2580483,2400041,2337902,2230218,2190359,2069449,2035201,2039337,1876784,1882892,1867764,1857132,1884298,1788317,1781935,1735378,1670100,1649707,1568457,1472736,1417670,1330049,1229253,1066141,1002304,884002,802840,561281,561281,561281,561281,561281,223638.2,223638.2,223638.2,223638.2,223638.2,57519,57519,57519,57519,57519,50281
4012658,3855407,3800096,3802710,3827346,3910033,3972508,4012049,4099542,4179230,4277249,4344913,4183955,4113191,4059370,4083878,4108304,4028736,4102851,4132515,4156725,4133311,3919316,3798554,3749380,3659719,3768152,3668700,3766129,3956647,4218260,4302689,4082902,4014912,4033412,4161140,4457678,4534648,4529329,4553123,4606601,4700471,4514435,4523433,4470894,4301955,4331582,4152347,4018921,3894178,3796146,3796980,3654405,3631014,3808740,2851092,2846838,2805407,2900132,2565506,2380300,2323707,2213270,2172024,2047019,2012270,2013441,1850485,1852792,1833245,1817859,1844676,1743767,1733630,1682014,1610892,1589103,1503097,1405933,1346388,1254832,1154138,993071,927192,808972,569333.2,569333.2,569333.2,569333.2,569333.2,226423.6,226423.6,226423.6,226423.6,226423.6,57051.2,57051.2,57051.2,57051.2,57051.2,48454
3951461,4004674,3856114,3804336,3812607,3837187,3913054,3982360,4020970,4118846,4243816,4295720,4380351,4209025,4132509,4097876,4126961,4148590,4084316,4152627,4158896,4182678,4145736,3936927,3819528,3779169,3669915,3791713,3682001,3768542,3994164,4210913,4330977,4095531,4026721,4050190,4168398,4459389,4538848,4534393,4551912,4610846,4699196,4515522,4511955,4461379,4301101,4330110,4143330,4016368,3881009,3797199,3785188,3650409,3626101,3788111,2846712,2833628,2792832,2881784,2540735,2370358,2306156,2195850,2147166,2025379,1986541,1986526,1821142,1818893,1792760,1782107,1797946,1697450,1679791,1620812,1554475,1522890,1436185,1336099,1269310,1180698,1075053,919945,849397,577274.8,577274.8,577274.8,577274.8,577274.8,229943.2,229943.2,229943.2,229943.2,229943.2,57155,57155,57155,57155,57155,46943
