Author	n (strains)	publication title	journal	publication URL	strains
aichi prefectural institute of public health	11			unknown	A/Aichi/119/2013,A/Aichi/130/2013
cantacuzino institute	135			unknown	A/Timis/136369/2013,A/Arges/1480-3059/2016,A/Bucharest/193605/2016
centers for disease control, r.o.c. (taiwan)	24			unknown	A/Taiwan/97920/2017,A/Taiwan/80925/2018,A/Taiwan/80928/2018,A/Taiwan/80929/2018,A/Taiwan/89416/2017
