Author	n (strains)	publication title	journal	publication URL	strains
hospital universitari vall d'hebron	288			unknown	A/Catalonia/NSVH100378559/2016,A/Catalonia/NSVH100403368/2016,A/Catalonia/NSVH110673676/2018,A/Catalonia/NSVH100971388/2019
institut pasteur	705			unknown	A/Lorraine/7214/2009,A/Paris/196/2012,A/Lorraine/1257/2012,A/Bretagne/602/2011,A/Paris/345/2014,A/Lorraine/1587/2015,A/Centre/2110/2016,A/Paris/99/2016,A/Paris/1447/2017,A/Paris/1289/2017,A/Paris/1459/2017,A/Centre/760/2019,A/Bretagne/925/2019,A/Paris/1578/2017,A/Centre/924/2019,A/ChampagneArdenne/860/2019
instituto de salud carlos iii	1658			unknown	A/Navarra/1985/2017
instituto de salud publica de chile	78			unknown	A/Temuco/58228/2015,A/Lota/51221/2015,A/Santiago/51750/2015,A/Talca/72908/2015,A/Linares/69253/2015,A/Victoria/50915/2015
instituto oswaldo cruz fiocruz   laboratory of respiratory viruses and measles (lvrs)	379			unknown	A/Parana/16/2015,A/Parana/756/2015,A/Parana/710/2015,A/Bahia/1858/2016
kenya medical research institute	38			unknown	A/Kikuyu/185/2009,A/Kisumu/61/2009,A/Nyeri/478/2009,A/Nakuru/192/2009,A/Nairobi/24/2010,A/Nairobi/72/2010
kenyatta university	1			unknown	A/Kisumu/56/2009
malbran	41			unknown	A/Tucuman/I192/2012
microbiology services colindale, public health england	1347			unknown	A/England/204/2009,A/England/434/2009,A/England/XFL00418/2009,A/England/67/2010,A/England/673/2013,A/England/34520778/2013,A/England/339/2016,A/England/62320772/2016,A/England/628/2016,A/England/87/2016,A/England/621/2016,A/England/431/2015,A/England/352/2015,A/England/71000568/2017,A/England/72260786/2017,A/England/595/2018,A/England/73280602/2017,A/England/62/2017,A/England/563/2018
ministry of health, singapore	422			unknown	A/Singapore/GP412/2013,A/Singapore/GP266/2013,A/Singapore/KK1067/2013,A/Singapore/KK1064/2013,A/Singapore/KK859/2015,A/Singapore/TT271/2015,A/Singapore/KK777/2015,A/Singapore/KK385/2015,A/Singapore/GP1775/2015,A/Singapore/TT543/2015,A/Singapore/TT1275/2015,A/Singapore/ED0060/2016,A/Singapore/INFKK-16-0209/2016,A/Singapore/TT1329/2015,A/Singapore/INFEN-16-0247/2016,A/Singapore/INFGP-16-0306/2016,A/Singapore/GP2315/2017,A/Singapore/GP2298/2017,A/Singapore/TT0998/2018,A/Singapore/GP2134/2018
national institute for biological standards and control (nibsc)	9			unknown	A/California/7/2009
national institute for medical research	1648			unknown	A/Ghana/FS/10-4400/2010,A/Dakar/11/2011,A/Dakar/18/2011,A/Dakar/29/2011,A/Dakar/3/2012,A/Ghana/FS-0895/2012,A/Gambia/G0070536/2012,A/Dakar/20/2012,A/Israel/644/2009,A/Austria/503100/2009,A/Israel/MF4683/2009,A/HongKong/5099/2009,A/KathmanduBGN/7-3/2009,A/Senegal/24/2010,A/Armenia/N53/2009,A/Lisbon/118/2009,A/Qatar/88/2009,A/Tajikistan/306/2009,A/Albania/2193/2009,A/NorthernIreland/1/2010,A/HongKong/1886/2010,A/HongKong/2212/2010,A/CapeTown/29/2010,A/HongKong/3960/2011,A/Slovakia/1634/2010,A/Slovakia/1624/2010,A/Cameroon/LEID-06-10-590/2010,A/Norway/924/2011,A/Samsun/TR-39/2011,A/Johannesburg/128/2011,A/Johannesburg/150/2011,A/Qatar/89/2009,A/Madagascar/1/2010,A/Iceland/59/2011,A/Mauritius/MP-t/2009,A/Cyprus/S17/2009,A/SouthAfrica/2/2009,A/Ghana/FS-09-1306/2009,A/Cameroon/10v-00413/2010,A/Israel/MF17568/2009,A/Switzerland/3628801/2010,A/Hevecam/11V-19274GVFI/2011,A/Cameroon/LEID/04/11/1671/2011,A/Cameroon/LEID/01/11/1450/2011,A/Cameroon/LEID/01/11/1467/2011,A/Cameroon/LEID-03-11-1616/2011,A/Ghana/763/2011,A/Yopougon/GR276/2012,A/Adjame/GR558/2012,A/Yopougon/GR553/2012,A/Ghana/ARI1181/2011,A/Yaounde/11V-18762/2011,A/Yaounde/11V-18442/2011,A/Cyprus/5800/2010,A/Moldova/717/2010,A/Ghana/FS-1976/2010,A/Ghana/FS-10-4023/2010,A/Ghana/FS-390/2010,A/Ghana/FS-2135/2010,A/Ghana/FS-10-4466/2010,A/Luxembourg/42/2010,A/HongKong/3972/2011,A/HongKong/3971/2011,A/Grenoble/1772/2011,A/Norway/717/2012,A/Norway/1041/2012,A/Madagascar/3520/2011,A/Madagascar/8753/2011,A/Madagascar/9252/2011,A/Madagascar/695/2012,A/Madagascar/566/2012,A/Madagascar/863/2012,A/Lyon/CHU/5227,A/Fukuoka-C/8/2013,A/Mauritius/716/2012,A/Ghana/DILI-0518/2012,A/Madagascar/7473/2010,A/LaReunion/815/2010,A/Johannesburg/119/2010,A/Ghana/FS-10-4259/2010,A/Neuquen/50677674/2011,A/Netherlands/492/2012,A/Netherlands/507/2012,A/Georgia/208/2012,A/SantaFe/333171/2012,A/Formosa/V2361/2012,A/Tucuman/A382/2012,A/Tucuman/A480/2012,A/Denmark/115/2010,A/Egypt/96/2010,A/England/576/2012,A/Annaba/G687/2012,A/Cameroon/13V-2186/2013,A/Cameroon/13V-2644/2013,A/Dmanisi/823/2013,A/Slovenia/740/2013,A/Ghana/DARI-0095/2014,A/Ghana/DILI-14-0567/2014,A/Ghana/FS-14-1069/2014,A/Ghana/DILI-0582/2014,A/Ghana/DILI-0620/2014,A/Ghana/DILI-0618/2014,A/Mauritius/214/2013,A/Cheb/24/2013,A/Norway/2144/2012,A/StPetersburg/33/2013,A/Guizhou-Qingzhen/SWL1251/2013,A/SouthAfrica/4706/2013,A/SouthAfrica/2118/2013,A/CoteDIvoire/1926/2013,A/CoteDIvoire/12/2014,A/CoteDIvoire/2273/2013,A/SouthAfrica/826/2013,A/Togo/LNG/344/2013,A/Tubas/14/2012,A/Norway/2060/2013,A/Madagascar/1123/2013,A/Dakar/6/2014,A/Dakar/8/2014,A/Dakar/2/2014,A/Dakar/7/2014,A/Dakar/3/2013,A/Gambia/G0123336/2013,A/Gambia/G0128340/2013,A/Gambia/G0123440/2013,A/Gambia/G0123340/2013,A/Gambia/G0136336/2013,A/SouthAfrica/3686/2013,A/SouthAfrica/3626/2013,A/Tomsk/3/2014,A/Mogilev/1570/2014,A/Khabarovsk/6/2014,A/Cyprus/F18/2014,A/Kanagawa/163/2014,A/HongKong/8111529/2015,A/HongKong/8112398/2015,A/Kazakhstan/3350/2013,A/Kazakhstan/3315/2013,A/Moscow/18/2013,A/Kazakhstan/3271/2013,A/Ireland/18909/2014,A/Denizli/1258/2013,A/LaReunion/2049/2014,A/LaReunion/2040/2014,A/CoteDIvoire/2093/2013,A/HongKong/6019/2013,A/Cyprus/F22/2014,A/Oman/903/2014,A/SouthAfrica/4042/2014,A/Lorestan/89914/2014,A/Jordan/30260/2014,A/HongKong/6110/2014,A/Oman/4902/2014,A/Oman/5074/2014,A/Oman/4230/2014,A/Setif/2/2015,A/Nice/2419/2014,A/HongKong/7531/2014,A/Finland/472/2014,A/Israel/P-412/2014,A/Belgium/G651/2014,A/Luxembourg/14069580/2014,A/Norway/2417/2013,A/RheinlandPfalz/14/2014
national institute for public health and the environment (rivm)	191			unknown	A/Bilthoven/4601300069/2013,A/Bilthoven/4601300070/2013,A/Netherlands/3165/2017,A/Netherlands/10070/2019,A/Aruba/10003/2019,A/Netherlands/10067/2019,A/Netherlands/10055/2019,A/Netherlands/10034/2019,A/Aruba/10001/2019,A/Netherlands/10052/2019,A/Netherlands/10056/2019,A/Netherlands/10033/2019,A/Netherlands/10038/2019
national institute of health research and development	40			unknown	A/Indonesia/NIHRDI-TGR521/2012,A/Indonesia/NIHRDI-YG0385/2012,A/Indonesia/NIHRDI-PLK0035/2012,A/Indonesia/NIHRDI-DPS805/2012,A/Indonesia/NIHRDS11-SDS013/2012
national institute of hygiene	26			unknown	A/Morocco/270/2009,A/Morocco/1515/2009,A/Morocco/472/2016
