Author	n (strains)	publication title	journal	publication URL	strains
national institute of infectious diseases (niid)	2120			unknown	A/Kawasaki/105/2009,A/Osaka/2032/2009,A/Chiba/17/2010,A/Lao/JP1424/2009,A/Yokohama/1000/2009,A/Okinawa/74/2010,A/Chiba/12/2010,A/Nagano/2181/2010,A/Yamaguchi/23/2010,A/Saitama/374/2009,A/Yamagata/29/2010,A/Yamagata/107/2010,A/Shiga/44/2009,A/Fukui/1/2010,A/Tottori/45/2010,A/Saitama/88/2012,A/Oita/61/2010,A/Niigata/1233/2009,A/Akita/5/2010,A/Taiwan/151/2010,A/Hyogo/3024/2010,A/Taiwan/729/2010,A/Wakayama-C/50/2010,A/Nara/48/2011,A/Yokosuka/50/2010,A/Chiba-C/41/2010,A/Nagano/2142/2010,A/Saitama/84/2010,A/Saitama/77/2010,A/Saitama/177/2010,A/Chiba-C/16/2011,A/Saitama/319/2011,A/Mie/2/2013,A/Yokohama/154/2012,A/Aomori/39/2011,A/Osaka/71/2010,A/Hiroshima/18/2012,A/Hiroshima/17/2012,A/Kanagawa/74/2010,A/Saitama/289/2011,A/Kobe/206/2011,A/Taiwan/989/2012,A/Saitama/301/2011,A/Saitama/80/2012,A/Aichi/59/2013,A/Kyoto-C/3/2012,A/Saitama/131/2013,A/Tokyo/32378/2013,A/Osaka-C/2005/2013,A/Yokosuka/11/2013,A/Gyeonggi/2623/2010,A/Taiwan/988/2012,A/Kumamoto-C/39/2011,A/Vietnam/NT13-77/2013,A/Sapporo/4/2012,A/Shimane/72/2012,A/Shizuoka/59/2012,A/Nepal/469/2013,A/Nepal/285/2013,A/Toyama/65/2013,A/Yokohama/156/2013,A/Shimane/108/2013,A/Lao/I766/2013,A/Lao/SA475/2013,A/Lao/I829/2013,A/Lao/SA333/2013,A/Chiba-C/43/2013,A/Hyogo/2002/2013,A/Taiwan/691/2013,A/Lao/O031/2013,A/Lao/O032/2013,A/Nepal/50/2013,A/Nepal/183/2013,A/Nepal/184/2013,A/Yamagata/266/2012,A/Mie/21/2013,A/Nepal/662/2013,A/Nepal/89/2013,A/Taiwan/1024/2013,A/Sapporo/29/2014,A/Kanagawa/152/2013,A/Lao/I018/2014,A/Lao/I092/2014,A/Taiwan/362/2014,A/Nepal/257/2014,A/Nepal/446/2014,A/Tokyo/32417/2013,A/Wakayama-C/43/2013,A/Saitama/134/2013,A/Lao/I717/2014,A/Kanagawa/165/2014,A/Wakayama-C/106/2015,A/Nepal/460/2014,A/Wakayama/153/2013,A/Shimane/124/2013,A/Yamaguchi/35/2014,A/Lao/I448/2014,A/Miyazaki/60/2014,A/Taiwan/646/2015,A/Nepal/1232B/2014,A/Nepal/2582B/2014,A/Fukushima/95/2014,A/Saitama-C/31/2014,A/Sapporo/41/2014,A/Nagano/2319/2014,A/Taiwan/459/2014,A/Tokyo/32026/2014,A/Niigata-C/57/2014,A/Tokyo/34011/2014,A/Lao/SA097/2014,A/Mie/15/2015,A/Taiwan/612/2014,A/Saitama-C/45/2014,A/Taiwan/681/2015,A/Taiwan/554/2015,A/Myanmar/I005/2015,A/Kanagawa/55/2015,A/Wakayama/75/2015,A/Nepal/506/2014,A/Taiwan/761/2015,A/India/P153321/2015,A/Fukuoka/SDC1/2015,A/Yokohama/98/2015,A/Saitama/39/2015,A/Taiwan/1081/2015,A/Taiwan/518/2015,A/Chiba/49/2015,A/Hyogo/1043/2015,A/Nagano/2554/2015,A/Nagano/3550/2015,A/Toyama/90/2016,A/Lao/F0174/2017,A/Oita/23/2016,A/Niigata/718/2016,A/Ibaraki/69/2016,A/Saitama/103/2016,A/Yamagata/204/2016,A/Sakai/21/2017,A/Ehime/11/2017,A/Wakayama/83/2017,A/Yamaguchi/12/2017,A/Osaka-C/1/2017,A/Tokyo/EH12/2016,A/Tokyo/EH13/2016,A/Kanagawa/ZC14/2016,A/Kanagawa/IC43/2016,A/Shiga/24/2016,A/Kagawa/441/2016,A/Tokyo/16155/2016,A/Tochigi/16151/2016,A/Fukushima/77/2015,A/Taiwan/337/2016,A/Aomori/14/2016,A/Saitama/94/2016,A/Shizuoka-C/58/2016,A/Wakayama-C/131/2016,A/Hyogo/3030/2016,A/Lao/F0361/2018,A/Ulaanbaatar/3469/2016,A/Ulaanbaatar/3494/2016,A/Hyogo/1060/2017,A/Tokyo/17258/2017,A/Yokohama/121/2017,A/Saitama-C/21/2017,A/Saitama/242/2017,A/Mie/20/2017,A/Kanagawa/207/2017,A/Osaka-C/14/2018,A/Kanagawa/AC1702/2017,A/Taiwan/1438/2017,A/Osaka-C/12/2017,A/Tokyo/EH1610/2017,A/Aomori/1/2017,A/Kobe/401/2018,A/Kanagawa/ZC1708/2017,A/Kawasaki/141/2017,A/Mie/26/2018,A/Osaka-C/10/2018,A/Kanagawa/AC1710/2017,A/Aichi/201/2018,A/Yamanashi/17210/2017,A/Sakai/25/2018,A/Kanagawa/83/2018,A/Lao/F0920/2018,A/Lao/F1960/2018,A/Kanagawa/ZC1736/2018,A/Yokohama/105/2018,A/Iwate/24/2018,A/Kanagawa/AC1810/2018,A/Ehime/33/2018,A/Kochi/23/2018,A/Aichi/190/2018,A/Tokyo/18049/2018,A/Taiwan/80693/2018,A/Yokohama/90/2018,A/Tokyo/18069/2018,A/Kanagawa/AC1808/2018,A/Hiroshima/74/2018
niigata university	131			unknown	A/Vietnam/13VH1-6/2013,A/Vietnam/13VH1-1/2013,A/Myanmar/14M445/2014,A/Myanmar/14M379/2014,A/Myanmar/14M072/2014,A/Myanmar/14M139/2014,A/Okinawa/14T001/2014,A/Nagasaki/14N133/2015,A/Kyoto/15K006/2016,A/Nagasaki/15N011/2016
norwegian institute of public health	343			unknown	A/Norway/1227/2010,A/Norway/2379/2011,A/Norway/2154/2012,A/Norway/2328/2013,A/Norway/2227/2015,A/Norway/2633/2013,A/Norway/3023/2014,A/Norway/1916/2014,A/Norway/2592/2015,A/Norway/2514/2015,A/Norway/2575/2015,A/Norway/2544/2015,A/Norway/2147/2017,A/Norway/1888/2017,A/Norway/3133/2017,A/Norway/3333/2017,A/Norway/3549/2018
other database import	12238			unknown	A/California/VRDL87/2009,A/SantoDomingo/WRAIR1414N/2009,A/Dakar/WRAIR0019T/2010,A/Managua/125604/2009,A/Managua/98901/2009,A/Mexico/24052/2009,A/Himeji/1/2009,A/Utsunomiya/2/2009,A/EasternIndia/330/2009,A/Taiwan/98158/2009,A/California/WR1313P/2009,A/HongKong/H090-678-V1/2009,A/Guam/NHRC0024/2009,A/Pune/NIV8489/2009,A/Bangalore/NIV310/2009,A/Hiroshima/200/2009,A/Oman/SQUH-37/2010,A/Chile/2851/2009,A/Chile/180/2009,A/Lorestan/1599/2009,A/Guam/NHRC0018/2009,A/Nanjing/2/2010,A/Tomsk/273-MA3/2010,A/Catalonia/S1196/2009,A/Istanbul/30/2009,A/Guam/NHRC0009/2009,A/Singapore/ON201/2009,A/Habana/10291/2010,A/Netherlands/1093/2009,A/Catalonia/S1353/2009,A/Finland/836N/2010,A/Assam/2585/2010,A/Jeddah/3666/2010,A/CzechRepublic/112/2011,A/CzechRepublic/111/2011,A/Sydney/DD3-03/2010,A/Yamagata/165/2010,A/Hyderabad/NIV51/2009,A/Nashik/NIV10348/2009,A/Manitoba/RV2105/2009,A/Guam/NHRC0004/2009,A/HongKong/H090-779-V20/2009,A/Nepal/VIROAF5CS/2012,A/SaoPaulo/1454/2009,A/Wisconsin/629-D02455/2009,A/Beijing/1/2009,A/HongKong/415742/2009,A/HongKong/1/2009,A/England/401/2009,A/Hamburg/5/2009,A/Korea/1/2009,A/Catalonia/79/2009,A/Bangalore/NIV236/2009,A/Taiwan/90138/2011,A/Lagos/WRAIR1984T/2009,A/Lagos/WRAIR1984N/2009,A/Guangdong/5303/2010,A/Guangdong/296/2010,A/Guangdong/147/2011,A/Athens/INS396/2010,A/Sydney/DD3-11/2010,A/California/VRDL6/2010,A/Ecuador/IEC00027/2010,A/Ontario/RV2909/2009,A/Argentina/19618/2009,A/Wisconsin/629-D01102/2009,A/Athens/INS413/2010,A/SriLanka/20887/2010,A/SriLanka/20708/2010,A/SriLanka/20703/2010,A/Taiwan/2649/2011,A/Singapore/GP496/2011,A/Bangalore/6106-16/2010,A/Khorasan/5363/2011,A/RioGrandedoSul/359/2011,A/Brazil/AVS08/2011,A/Singapore/DMS1239/2012,A/Sanandaj/5720/2011,A/RioGrandedoSul/570/2011,A/Casablanca/117/2011,A/SriLanka/22700/2010,A/SriLanka/2290/2011,A/Peru/PER045/2011,A/Singapore/TT489/2010,A/Bangkok/SIMI506/2010,A/Nagasaki/9N057/2009,A/Lebanon/9L-29/2009,A/SriLanka/23194/2010,A/India/NIV1028800/2010,A/Uganda/MUWRP-236/2010,A/Niigata/10F117/2011,A/Japan/NHRC0004/2009,A/Guam/NHRC0014/2009,A/Catalonia/S1161/2009,A/Malaysia/2139971/2009,A/Catalonia/S1205/2009,A/EasternIndia/66/2009,A/Bangalore/11406-11/2009,A/Lebanon/9L-08/2009,A/Lebanon/9L-19/2009,A/EasternIndia/1909/2009,A/Singapore/GP3991/2009,A/Bangkok/INS426/2010,A/Vietnam/11032017/2009,A/Orenburg/IIV-13/2010,A/Vietnam/13032076/2009,A/Finland/776N/2010,A/Brazil/AVS06/2009,A/Singapore/GP3212/2009,A/Sendai/TU09/2010,A/Paraguay/138HCl/2009,A/Singapore/GP1169/2009,A/Guangdong/2281/2009,A/Korea/CJ63/2009,A/Moscow/IIV04/2009,A/NewYork/4677/2009,A/Argentina/8AR/2009,A/Brazil/AVS07/2009,A/Uganda/MUWRP-067/2009,A/Singapore/ON2035/2009,A/Argentina/19464/2009,A/Jeddah/3663/2010,A/Russia/1/2009,A/Singapore/CGH01/2011,A/SriLanka/2008/2009,A/Japan/PR1070/2009,A/Kenya/32/2009,A/Bogota/WRAIR0435N/2009,A/Singapore/DMS100/2010,A/Chile/6/2010,A/Paraguay/85HCl/2009,A/Qingdao/F404/2011,A/England/12/2010,A/Singapore/DMS69/2010,A/Singapore/GP64/2010,A/Singapore/DMS75/2010,A/Chile/52/2010,A/Singapore/DMS31/2009,A/Singapore/GP4451/2009,A/Singapore/GP4778/2009,A/Taiwan/206/2009,A/Assam/2257/2009,A/Nagasaki/9N079/2009,A/Bangalore/11658-15/2009,A/Singapore/TT421/2010,A/NewYork/2648/2010,A/NewYork/352/2009,A/Singapore/DMS145/2010,A/India/Bangalore/2010,A/Bangalore/3934-28/2010,A/Taiwan/3093/2010,A/Singapore/DMS86/2010,A/Singapore/GP185/2010,A/Taiwan/65642/2010,A/Singapore/GP2726/2010,A/Chile/23/2010,A/Chile/106/2010,A/Bangkok/INS499/2010,A/Finland/706/2009,A/Myanmar/M538/2009,A/Toyama/90/2010,A/SriLanka/33/2011,A/Bangalore/5274-20/2010,A/FuZhou/SWL11615/2010,A/Nanping/SWL1132/2011,A/Bangalore/4080-23/2010,A/Helsinki/11IH2213/2011,A/Beijing/3848/2010,A/Moscow/IIV-33/2010,A/Singapore/TT474/2010,A/Tehran/5675/2010,A/Singapore/GP382/2011,A/Taiwan/3002/2010,A/Tennessee/F2005A/2010,A/Taiwan/3502/2010,A/Ardebil/3295/2011,A/Westmead/INS3_665/2011,A/Singapore/DMS1243/2012,A/Singapore/DMS1240/2012,A/KhonKaen/INS3_649/2012,A/Taiwan/2883/2011,A/Beijing/3907/2010,A/Novosibirsk/1/2011,A/Bangalore/1326-52/2011,A/Bangalore/2327-56/2011,A/Bangalore/1974-55/2011,A/Assam/3774/2012,A/Cambodia/V1003303/2011,A/Cambodia/V0902314/2011,A/Cambodia/V0921358/2011,A/Cambodia/V1019320/2011,A/Cambodia/V1019340/2011,A/Mexico/INMEGEN-INER11/2012,A/Pernambuco/120924/2012,A/Mexico/INMEGEN-INER05/2012,A/Durham/INS3_648/2012,A/SouthCarolina/NHRC361211/2012,A/Singapore/DMS1223/2011,A/Thailand/SN11618/2011,A/Thailand/PY10296/2011,A/Taiwan/90184/2011,A/Singapore/DMS1194/2011,A/Qingdao/F163/2011,A/Westmead/INS3_662/2011,A/India/P1112874/2011,A/India/Nsk12388/2012,A/Singapore/DMS1236/2012,A/Bangalore/3432-40/2012,A/Nepal/VIROAF5/2012,A/Bangalore/1428-35/2012,A/Bangalore/2071-38/2012,A/Longyan/SWL35/2013,A/Beijing/124/2013,A/Singapore/DMS1312/2013,A/TianjinHedong/SWL156/2013,A/LaReunion/803/2010,A/Singapore/GP4217/2010,A/Sydney/DD3-26/2010,A/Bangalore/1808-53/2011,A/Lima/INS3_671/2012,A/Moscow/CRIE-HDV/2011,A/Moscow/CRIE-131/2011,A/Nicaragua/AGA2-83/2011,A/Nicaragua/AGA2-46/2011,A/Nicaragua/AGA2-45/2011,A/Nicaragua/AGA2-73/2011,A/Nicaragua/AGA2-68/2011,A/Athens/INS3_699/2011,A/Lebanon/11L008/2011,A/Lebanon/11L043/2012,A/FuZhou/SWL1155/2012,A/SriLanka/19/2012,A/Singapore/DMS1234/2012,A/Thailand/SP11743/2012,A/Thailand/PY12436/2012,A/FuZhou/SWL129/2013,A/Singapore/DMS1232/2012,A/Tomsk/IIV-19/2012,A/Singapore/DMS1237/2012,A/Thailand/MR11669/2012,A/Cambodia/W0908339/2012,A/Oman/SQUH-53/2012,A/Vladivostok/28/2012,A/Acre/118805/2012,A/Acre/118816/2012,A/Bangalore/1103-51/2011,A/India/P1114854/2011,A/India/P121778/2012,A/Bangalore/697-32/2012,A/India/P131027/2013,A/Kenya/260/2013,A/Bangalore/3361-46/2012,A/Oman/SQUH-44/2012,A/Bangalore/3925-45/2012,A/Nanping/SWL1402/2013,A/FuZhou/SWL1172/2013,A/Helsinki/1017/2013,A/Kenya/259/2013,A/XiaMen/SWL1427/2013,A/Longyan/SWL1411/2013,A/Guangdong/1513/2012,A/Bangalore/3666-41/2012,A/JiangsuGusu/SWL1824/2013,A/FuZhou/SWL1493/2013,A/Nanping/SWL1640/2013,A/Quanzhou/SWL184/2013,A/Bangalore/2008-43/2012,A/Para/122682/2013,A/Ceara/129359-IEC/2014,A/XiaMen/SWL316/2013,A/Longyan/SWL311/2014,A/XiaMen/SWL1272/2014,A/Zhangzhou/SWL2135/2014,A/Thailand/NHRC430218/2014,A/Longyan/SWL1734/2013,A/Nanping/SWL1124/2014,A/Shanghai/Mix1/2014,A/Para/129415-IEC/2014,A/Helsinki/1338/2014,A/CuTha/FS1/2014,A/Helsinki/289N/2014,A/Egypt/42/2014,A/NewYork/WC-LVD-13-026/2013,A/India/Pun1415432/2014,A/India/Pun151214/2015,A/Helsinki/808M/2014,A/Okinawa/13T001/2013,A/Kyoto/13SK076-2/2014,A/Gunma/13G024/2014,A/Zhangzhou/SWL1418/2013,A/Assam/5361/2015,A/Kenya/17/2016,A/Connecticut/7/2017,A/Michigan/123/2016
public health agency of canada (phac)	124			unknown	A/Ontario/RV0796/2019
public health agency of sweden	137			unknown	A/Stockholm/33/2017,A/Stockholm/42/2017,A/Trollhattan/2/2018,A/Stockholm/19/2018,A/Kalmar/1/2018,A/Sweden/61/2018,A/Stockholm/21/2018
public health laboratory services branch, centre for health protection	14			unknown	A/HongKong/7568/2012,A/HongKong/6610/2012,A/HongKong/6609/2012
public health wales microbiology	45			unknown	A/Cardiff/6094/2018,A/PortTalbot/9635/2018,A/Cardiff/4341/2017
robert koch institute	382			unknown	A/Berlin/176/2015
state research center of virology and biotechnology (vector)	56			unknown	A/Irkutsk/1727/2018,A/RostovOnDon/3171/2017,A/Ekaterinburg/17/2019
state research center of virology and biotechnology vector	36			unknown	A/Novosibirsk/114/2014,A/Chita/655/2014,A/Novosibirsk/121/2016
swedish institute for infectious disease control	375			unknown	A/Umea/6/2009,A/Stockholm/8/2010,A/Stockholm/35/2011,A/Stockholm/36/2011,A/Malmo/2/2010,A/Gothenburg/1/2011,A/Umea/1/2011,A/Stockholm/27/2011,A/Stockholm/30/2011,A/Stockholm/27/2012,A/Boras/1/2012,A/Stockholm/25/2012,A/Lund/1/2011,A/Umea/2/2012,A/Stockholm/28/2012,A/Skovde/3/2013,A/Stockholm/39/2015,A/Uppsala/6/2013,A/Stockholm/24/2013,A/Stockholm/38/2015,A/Stockholm/36/2016,A/Skovde/2/2016
universidad autonoma de yucatan	71			unknown	A/Yucatan/2458/2009,A/Yucatan/329/2013
university college london	30			unknown	A/Indonesia/275_S63_L001/2011,A/Indonesia/1277_S30_L001/2012,A/Indonesia/1179_S28_L001/2012,A/Indonesia/1239_S17_L001/2012,A/London/16U426028-92_S44_L001/2016
usamru k	28			unknown	A/Kenya/196/2011
who chinese national influenza center	1229			unknown	A/Chongqing/SWL1/2009,A/Fujian/SWL2/2009,A/Jiangsu-Nanjinggulou/SWL11133/2009,A/Beijing-Huairou/SWL11001/2009,A/Jiangsu-Nanchang/SWL190/2010,A/Jiangsu-Nanjinggulou/SWL11827/2009,A/Hubei-Wuchang/SWL174/2010,A/Shanxi-Chengqu/SWL581/2009,A/Xinjiang-Kuitun/SWL314/2009,A/Guangxi-Fangcheng/SWL1130/2010,A/Shanghai-Pudongxin/SWL1335/2010,A/Shanghai-Luwan/SWL1354/2010,A/Shanghai-Luwan/SWL143/2010,A/Heilongjiang-Longsha/SWL1181/2011,A/Hunan-Jishou/SWL1124/2011,A/Xinjiang-Midong/SWL1132/2012,A/Xinjiang-Hetian/swl161/2012,A/Gansu-Baiyin/SWL1189/2012,A/Xinjiang-Hetian/swl515/2012,A/Gansu-Ganzhou/SWL34/2012,A/Yunnan-Chuxiong/SWL1283/2015,A/Guangxi-Gangbei/SWL1481/2013,A/Beijing-Xicheng-Nan-Pian/SWL11619/2013,A/Guangdong-Zhongshan/SWL1323/2014,A/Heilongjiang-Taoshan/SWL1649/2014,A/Jilin-Tiexi/SWL1189/2015,A/Jiangsu-Tianning/SWL1744/2014,A/Jiangsu-Qingpu/SWL11536/2015,A/HongKong/7355/2014,A/HongKong/7373/2014,A/HongKong/7345/2014,A/HongKong/61/2015,A/Shanghai-Minxing/SWL11010/2015,A/Macau/611492/2016,A/Shanghai-Changning/SWL1988/2015,A/Guangxi-Qinnan/SWL1118/2015,A/Sichuan-Dongqu/SWL11082/2017,A/Guangxi-Jiangzhou/SWL1632/2017,A/Shanghai-Pudongxin/SWL1434/2016,A/Gansu-Chengguan/SWL527/2016,A/Yunnan-Maoshi/SWL1911/2016,A/Beijing-Xicheng/SWL116/2016,A/Guangxi-Wanxiu/SWL1171/2016,A/Guangdong-Chancheng/SWL1361/2016,A/Hunan-Yuhua/SWL11062/2016,A/Guangxi-Xiufeng/SWL512/2016,A/Guangdong-Meijiang/SWL1165/2016,A/Guangxi-Wanxiu/SWL1343/2016,A/Macau/613501/2016,A/Yunnan-Chuxiong/SWL1496/2017,A/Zhejiang-Kecheng/SWL1328/2016,A/Guangdong-Chancheng/SWL1263/2017,A/Zhejiang-Lucheng/SWL1217/2017,A/Liaoning-Guta/SWL1429/2017,A/Neimenggu-Huimin/SWL1201/2017,A/Hubei-Enshi/SWL1285/2018,A/Yunnan-Maoshi/SWL1836/2016,A/Hubei-Dongbao/SWL1750/2017,A/Macau/SWL600014/2018,A/Beijing-Dongcheng/SWL331/2017,A/Qinghai-Haiyan/SWL1482/2018,A/Xinjiang-Tianshan/SWL11169/2018,A/Hainan/SWL2018-28191/2018,A/Guangxi-Xixiangtang/SWL1753/2018,A/Guangxi-Xixiangtang/SWL1666/2018,A/Yunnan-Linxiang/1769/2018,A/Zhejiang-Shangcheng/SWL12/2019,A/Macau/SWL603937/2017,A/Xinjiang-Tianshan/SWL1860/2018,A/Fujian-Sanyuan/SWL2709/2018,A/Hainan-Wenchang/SWL1776/2018,A/Tianjin-Jinnan/SWL1493/2018,A/Beijing-Huairou/SWL1116/2019
who collaborating centre for reference and research on influenza	1990			unknown	A/Philippines/2001/2009,A/Auckland/4/2009,A/Auckland/3/2009,A/SouthAustralia/2001/2009,A/Southaustralia/162/2012,A/Brisbane/80/2009,A/Waikato/2/2010,A/Kosrae/2003/2009,A/Auckland/1/2009,A/Christchurch/2/2009,A/Victoria/2081/2009,A/Goroka/19/2010,A/Goroka/9/2010,A/Vanimo/3/2010,A/Srilanka/21/2010,A/Philippines/2469/2011,A/Philippines/477/2011,A/Darwin/2/2011,A/Victoria/2131/2009,A/Brisbane/72/2011,A/Brisbane/17/2009,A/Guam/2123/2009,A/Canberra/1/2010,A/Guam/2/2010,A/Brisbane/114/2009,A/Darwin/2145/2009,A/Victoria/1/2010,A/Vanimo/7/2010,A/Philippines/2638/2010,A/Brisbane/7/2010,A/Townsville/10/2010,A/Southauckland/20/2010,A/Victoria/662/2010,A/Southaustralia/397/2010,A/Darwin/23/2010,A/Darwin/3/2010,A/Newcaledonia/6/2011,A/Victoria/504/2011,A/Songkhla/40/2012,A/Perth/298/2012,A/Brunei/237/2010,A/Sydney/17/2011,A/Perth/194/2011,A/Perth/183/2011,A/Newcastle/17/2011,A/Sydney/525/2011,A/Brisbane/96/2012,A/Southauckland/5/2012,A/Songkhla/416/2012,A/Auckland/64/2012,A/Brisbane/3/2012,A/Brisbane/142/2011,A/Tasmania/6/2011,A/Southauckland/4/2011,A/Cambodia/11/2011,A/Cambodia/69/2011,A/Brisbane/19/2012,A/Christchurch/3/2012,A/Victoria/514/2012,A/Christchurch/105/2011,A/Townsville/95/2011,A/Brisbane/346/2011,A/Victoria/356/2011,A/Fiji/2/2012,A/Fiji/3/2012,A/Victoria/806/2013,A/Christchurch/513/2013,A/SouthAustralia/178/2012,A/Victoria/670/2010,A/Victoria/663/2010,A/Perth/382/2010,A/Sydney/12/2011,A/Brisbane/186/2011,A/Darwin/103/2011,A/Victoria/730/2011,A/Singapore/62/2011,A/Brisbane/409/2011,A/Perth/33/2012,A/Newcaledonia/51/2013,A/Newcaledonia/16/2013,A/Singapore/11/2012,A/Darwin/2/2013,A/Brisbane/6/2013,A/Perth/46/2012,A/Victoria/637/2012,A/Victoria/1027/2012,A/Darwin/65/2013,A/Southauckland/7/2013,A/Darwin/104/2013,A/Townsville/37/2013,A/Goroka/8/2013,A/Goroka/23/2013,A/Goroka/29/2013,A/Townsville/23/2013,A/Philippines/11/2013,A/Brisbane/30/2013,A/Townsville/11/2014,A/Malaysia/15/2014,A/Malaysia/32/2014,A/Darwin/11/2014,A/Brisbane/17/2014,A/Wellington/77/2014,A/SouthAfrica/3599/2014,A/Srilanka/30/2013,A/Cambodia/X0522305/2013,A/Cambodia/X0717312/2013,A/Cambodia/X0717301/2013,A/Cambodia/X0717333/2013,A/Southaustralia/30/2013,A/Sydney/82/2013,A/Southaustralia/18/2013,A/Srilanka/61/2013,A/Malaysia/9/2013,A/Srilanka/31/2014,A/Canberra/12/2013,A/Darwin/70/2013,A/Perth/3/2014,A/Sydney/64/2013,A/Fiji/8/2013,A/Suphanburi/234/2014,A/Wellington/22/2014,A/Townsville/1000/2014,A/Huttvalley/1/2014,A/Tasmania/27/2015,A/Victoria/504/2015,A/SriLanka/60/2014,A/Malaysia/9707/2015,A/SriLanka/50/2014,A/Brisbane/9/2015,A/Brisbane/6/2015,A/Chanthaburi/11/2015,A/Darwin/20/2015,A/Darwin/11/2015,A/Newcastle/1004/2015,A/Darwin/14/2015,A/Perth/103/2015,A/Darwin/19/2015,A/Canberra/1/2016,A/Victoria/503/2016,A/Canberra/1007/2014,A/Tasmania/13/2014,A/Brisbane/96/2014,A/Newcaledonia/58/2014,A/Southaustralia/77/2014,A/Victoria/4096/2014,A/Darwin/49/2014,A/Sydney/1103/2014,A/Brisbane/366/2014,A/Tasmania/55/2014,A/Brisbane/343/2014,A/Victoria/500/2015,A/Fiji/6/2014,A/Tasmania/24/2014,A/Newcastle/115/2014,A/Wellington/15/2014,A/Victoria/189/2014,A/Darwin/3/2015,A/Darwin/59/2014,A/Perth/1056/2014,A/Victoria/3076/2014,A/Canberra/98/2014,A/Sydney/1003/2015,A/Canberra/47/2015,A/SouthAuckland/33/2015,A/Newcastle/5/2015,A/Canberra/14/2015,A/Darwin/2/2015,A/SolomonIslands/7/2016,A/Brisbane/181/2015,A/Fiji/8/2016,A/Brisbane/295/2016,A/Darwin/15/2015,A/Brisbane/198/2015,A/Sydney/14/2016,A/Townsville/2/2016,A/Newcastle/1005/2016,A/Victoria/13/2016,A/SriLanka/47/2016,A/Newcastle/32/2016,A/Newcastle/52/2016,A/Fiji/3/2016,A/SouthAfrica/R4066/2016,A/SriLanka/15/2016,A/SriLanka/10/2016,A/Tasmania/116/2016,A/Sydney/117/2016,A/Cambodia/FSS33093/2016,A/Cambodia/FSS32787/2016,A/SouthAustralia/16/2017,A/Canberra/9/2017,A/Sydney/1007/2016,A/SouthAuckland/46/2017,A/Brisbane/31/2017,A/Canterbury/3/2017,A/Brisbane/17/2017,A/Perth/10/2017,A/Victoria/226/2017,A/Canterbury/7/2017,A/Brisbane/200/2017,A/Brisbane/82/2017,A/Macau/604417/2017,A/Cambodia/FSS38268/2018,A/Macau/600313/2018,A/SriLanka/3/2018,A/ChiangRai/11/2018,A/Nonthaburi/46/2018,A/Perth/21/2018,A/Perth/339/2017,A/Trang/285/2018,A/Brisbane/2/2018,A/SouthAustralia/1025/2018,A/Sydney/9/2018,A/Yasothon/82/2018,A/Perth/34/2018,A/Newcastle/10/2018,A/PapuaNewGuinea/6/2018,A/Townsville/1/2018,A/Macau/601330/2018,A/Brisbane/21/2018,A/Brisbane/37/2017,A/SouthAustralia/262/2017,A/Brisbane/48/2018,A/SouthAustralia/24/2018,A/Malaysia/RP3915/2018,A/SriLanka/63/2018,A/Townsville/8/2018,A/Townsville/21/2018,A/Tasmania/5/2018,A/Sydney/169/2018,A/Brisbane/65/2018,A/Brisbane/210/2017,A/Cambodia/c0409405/2018,A/Brunei/6/2018,A/Philippines/54/2018,A/Macau/601567/2018,A/SuratThani/61/2018,A/Sydney/31/2018,A/SouthAustralia/240/2018,A/Sydney/77/2018,A/NewCaledonia/20/2018,A/Fiji/2/2018,A/NewCaledonia/7/2017,A/Cambodia/d0102351/2019,A/SriLanka/61/2018,A/SriLanka/52/2018,A/Darwin/43/2019,A/Darwin/269/2018,A/Brisbane/1001/2019,A/Darwin/118/2018,A/Darwin/6/2018,A/SriLanka/50/2018,A/Brisbane/2/2019
who national influenza centre russian federation	362			unknown	A/Ekaterinburg/RII09/2013,A/Moscow/RII18/2013,A/Moscow/102/2017,A/Moscow/RII-512S/2018,A/StPetersburg/RII-559/2018,A/Petropavlovsk-Kamchatski/RII-3465S/2018,A/Tomsk/140-L/2018,A/Moscow/121/2018,A/StPetersburg/RII-606S/2019,A/Arkhangelsk/4/2019
