"subtype","season","count"
"H1",199394,0
"H1",199495,12
"H1",200203,71
"H1",200304,0
"H1",200405,0
"H1",200506,1
"H1",200607,212
"H1",200708,196
"H1",201011,472
"H1",201112,595
"H1",201213,80
"H1",201314,1475
"H1",201415,5
"H3",199394,101
"H3",199495,38
"H3",200203,8
"H3",200304,71
"H3",200405,131
"H3",200506,321
"H3",200607,28
"H3",200708,244
"H3",201011,1204
"H3",201112,348
"H3",201213,1578
"H3",201314,151
"H3",201415,2109
